accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1.478764414787292480e+00,2.009970992803573608e-01,4.948357582092285156e+00,1.087340116500854492e-01,-8.552113547921180725e-03,7.696902006864547729e-02
-1.435693740844726562e+00,1.866401731967926025e-01,4.819145202636718750e+00,1.404990106821060181e-01,7.819075137376785278e-02,5.375614017248153687e-02
-1.469192981719970703e+00,1.962114572525024414e-01,4.709074974060058594e+00,1.014036238193511963e-01,6.963863223791122437e-02,1.466076541692018509e-02
-1.502692461013793945e+00,1.244267746806144714e-01,4.613362312316894531e+00,7.819075137376785278e-02,-3.176499158143997192e-02,-8.552113547921180725e-03
-1.550549030303955078e+00,2.727817595005035400e-01,4.675575733184814453e+00,7.330382708460092545e-03,3.054326213896274567e-02,7.696902006864547729e-02
-1.483550071716308594e+00,3.972086012363433838e-01,4.632504940032958984e+00,-7.086036354303359985e-02,-5.497787147760391235e-02,-3.909537568688392639e-02
-1.464407444000244141e+00,1.196411252021789551e-01,4.838287830352783203e+00,4.642575979232788086e-02,-1.099557429552078247e-01,-4.764748737215995789e-02
-1.450050592422485352e+00,6.699904054403305054e-02,4.867001533508300781e+00,6.230825558304786682e-02,-1.014036238193511963e-01,7.330382708460092545e-03
-1.430907964706420898e+00,1.052841916680335999e-01,4.785645484924316406e+00,4.642575979232788086e-02,3.909537568688392639e-02,5.375614017248153687e-02
-1.435693740844726562e+00,2.584248781204223633e-01,4.603790760040283203e+00,5.497787147760391235e-02,-1.588249579071998596e-02,6.963863223791122437e-02
-1.339980721473693848e+00,1.914258152246475220e-01,4.666004180908203125e+00,1.331686228513717651e-01,-1.099557429552078247e-01,-1.588249579071998596e-02
-1.454836130142211914e+00,3.589234352111816406e-01,4.819145202636718750e+00,8.552113175392150879e-02,-1.099557429552078247e-01,-1.588249579071998596e-02
-1.325623631477355957e+00,3.349951803684234619e-01,4.819145202636718750e+00,9.407324343919754028e-02,-2.443460933864116669e-02,-3.176499158143997192e-02
-1.478764414787292480e+00,2.967100143432617188e-01,4.718646049499511719e+00,-3.909537568688392639e-02,-8.552113547921180725e-03,-1.014036238193511963e-01
-1.454836130142211914e+00,1.962114572525024414e-01,4.637290477752685547e+00,-9.407324343919754028e-02,0.000000000000000000e+00,-8.552113547921180725e-03
-1.450050592422485352e+00,1.387837231159210205e-01,4.723432064056396484e+00,-1.246165111660957336e-01,-8.674286305904388428e-02,3.787364438176155090e-02
-1.440479278564453125e+00,3.684946894645690918e-01,4.785645484924316406e+00,-7.330382708460092545e-03,-5.497787147760391235e-02,7.330382708460092545e-03
-1.320838093757629395e+00,2.871387302875518799e-01,4.804787635803222656e+00,-7.330382708460092545e-03,-4.764748737215995789e-02,-1.014036238193511963e-01
-1.406979680061340332e+00,2.344966232776641846e-01,4.895715236663818359e+00,-1.099557429552078247e-01,-1.172861233353614807e-01,-1.722639948129653931e-01
-1.301695585250854492e+00,8.614161610603332520e-02,4.934000015258789062e+00,-1.588249579071998596e-02,-7.819075137376785278e-02,-1.172861233353614807e-01
-1.426122307777404785e+00,2.009970992803573608e-01,4.670789718627929688e+00,-1.014036238193511963e-01,2.321287989616394043e-02,-7.086036354303359985e-02
-1.402194261550903320e+00,2.153540551662445068e-01,4.718646049499511719e+00,-1.246165111660957336e-01,0.000000000000000000e+00,-1.331686228513717651e-01
-1.330409407615661621e+00,1.052841916680335999e-01,4.780859470367431641e+00,-1.404990106821060181e-01,-1.014036238193511963e-01,-1.478293985128402710e-01
-1.359123110771179199e+00,1.196411252021789551e-01,4.962714195251464844e+00,-2.809980213642120361e-01,-4.764748737215995789e-02,-1.404990106821060181e-01
-1.296909928321838379e+00,5.264209583401679993e-02,5.024927616119384766e+00,-9.065240025520324707e-01,1.795943826436996460e-01,-1.869247555732727051e-01
-1.320838093757629395e+00,5.742774158716201782e-02,5.120640754699707031e+00,-1.516167521476745605e+00,3.750712573528289795e-01,-1.014036238193511963e-01
-1.387837171554565430e+00,-1.962114572525024414e-01,5.359922885894775391e+00,-8.906415700912475586e-01,4.923574030399322510e-01,-7.086036354303359985e-02
-1.373480200767517090e+00,-5.264209583401679993e-02,5.268995761871337891e+00,1.014036238193511963e-01,6.096435189247131348e-01,-2.724458873271942139e-01
-1.651047587394714355e+00,-4.785645008087158203e-01,5.120640754699707031e+00,2.736676335334777832e-01,7.110471129417419434e-01,-5.143485069274902344e-01
-1.818545341491699219e+00,-1.253839135169982910e+00,6.269196033477783203e+00,-1.954768747091293335e-01,9.920451641082763672e-01,-2.443460933864116669e-02
-1.718046665191650391e+00,-7.561320066452026367e-01,6.015556335449218750e+00,3.176499158143997192e-02,1.813048005104064941e+00,3.640756905078887939e-01
-1.990828394889831543e+00,-1.722832322120666504e-01,4.441079139709472656e+00,3.824016451835632324e-01,2.117258787155151367e+00,3.029891550540924072e-01
-2.057827472686767578e+00,5.742774158716201782e-02,3.823730707168579102e+00,-2.321287989616394043e-02,1.875356316566467285e+00,1.698205471038818359e-01
-2.354537487030029297e+00,4.785645380616188049e-02,4.910072326660156250e+00,-1.086118459701538086e+00,1.905899524688720703e+00,2.089159041643142700e-01
-2.483750104904174805e+00,-4.019941985607147217e-01,4.168296813964843750e+00,4.459316134452819824e-01,2.812423467636108398e+00,2.712241411209106445e-01
-2.742174625396728516e+00,-4.307080805301666260e-02,2.967100143432617188e+00,-3.909537568688392639e-02,2.656042098999023438e+00,2.638937830924987793e-01
-3.259024381637573242e+00,-3.349952027201652527e-02,2.770888566970825195e+00,-9.382889866828918457e-01,2.430022001266479492e+00,9.285151958465576172e-02
-3.579662799835205078e+00,-4.354937374591827393e-01,2.761317253112792969e+00,-1.099557429552078247e-01,2.117258787155151367e+00,4.642575979232788086e-02
